10	50	-4.8126354959128	-1.95315717348164	-1.07384633054766	-0.665409964558049	-0.342130365561366
10	50	-4.8126354959128	-1.95315717348164	-1.07384633054766	-0.665409964558049	-0.342130365561366
20	50	-7.59579434376876	-2.66282747146731	-1.32802938165639	-0.783141508654289	-0.441008106396677
30	50	-9.39052068220914	-2.97761215076957	-1.4159113460905	-0.816458597264404	-0.464724841275346
40	50	-10.5589620106011	-3.13316213495623	-1.45397283486406	-0.829873727107152	-0.473734468054709
50	50	-11.3361060967952	-3.21847822584696	-1.47340238057841	-0.836493571559919	-0.478067687663498
60	50	-11.8671278081636	-3.26946017373329	-1.48453622003412	-0.840218501327001	-0.480473603806269
70	50	-12.2403791629385	-3.3020626740882	-1.49147229536183	-0.842513918275275	-0.481944644500566
80	50	-12.5099674516762	-3.32406101878154	-1.49607223598568	-0.844025619673841	-0.4829086397196
90	50	-12.7096228746287	-3.33955667634801	-1.49927390561927	-0.845072829832909	-0.483574210463468
100	50	-12.8608631645473	-3.3508603424711	-1.50158953225104	-0.845827943871451	-0.484052719407241
110	50	-12.9777601680783	-3.35934799628788	-1.50331736417053	-0.846389696201155	-0.484408342315118
120	50	-13.0697443432232	-3.36587725228341	-1.50463991875714	-0.846819008875534	-0.484679663902005
130	50	-13.143285377708	-3.37100437764762	-1.50567444947486	-0.847154109666246	-0.484891535759626
140	50	-13.2029189067434	-3.37510208633338	-1.50649914148094	-0.847421164050017	-0.485059917847958
150	50	-13.25188984063	-3.37842768368933	-1.50716659931251	-0.847637170335133	-0.485196147192349
160	50	-13.2925620616216	-3.38116256434294	-1.50771442381059	-0.84781413114704	-0.48530754086451
170	50	-13.3266877303972	-3.38343877300202	-1.50816957421917	-0.847961246787951	-0.485400268243461
180	50	-13.355584235818	-3.38535277094697	-1.50855187614983	-0.848084769802634	-0.485478064958123
190	50	-13.380257341965	-3.38697766372847	-1.50887596210441	-0.848189240884142	-0.485543988175948
200	50	-13.4014842430685	-3.38836836377831	-1.50915325507299	-0.848278694133201	-0.485600146515164
210	50	-13.4198728577612	-3.38956791021615	-1.50939222045655	-0.848355621257306	-0.485648562255429
220	50	-13.4359036910521	-3.39060991794221	-1.50959928354603	-0.848422667186544	-0.485690684161054
230	50	-13.449960319037	-3.39152043219129	-1.5097804723365	-0.84848071559064	-0.485727333173131
240	50	-13.4623524268753	-3.39232085949444	-1.50993958490169	-0.848532209215941	-0.485759623987678
250	50	-13.4733306385317	-3.39302803035857	-1.51007998176485	-0.848577468599153	-0.485788084388295
